no;Kanji;onyomi-romaji;onyomi-kana;kunyomi-romanji;kunyomi-kana;translation
1;政;sei;セイ;matsurigoto;まつりごと;politics, government
2;議;gi;ギ;empty;空;deliberation, consultation, debate
3;民;min;ミン;tami;たみ;people, nation, subjects
4;連;ren;レン;tsura(naru), tsu(reru);つら(なる)、つ(れる);take along, lead, join, connect
5;対;tai, tsui;タイ、 ツイ;empty;空;opposite, even, equal, versus, anti-, compare
6;部;bu;ブ;empty;空;section, bureau, dept, class, copy, part, portion
7;合;gou, ga, ka;ゴウ、 ガッ、 カッ;a(u), ai;あ(う)、あい;fit, suit, join, 0.1
8;市;shi;シ;ichi;いち;market, city, town
9;内;nai;ナイ;uchi;うち;inside, within, between, among, house, home
10;相;sou, shou;ソウ、 ショウ;ai;あい;inter-, mutual, together, each other, minister of state
11;定;tei, jou;テイ、 ジョウ;sada(meru);さだ(める);determine, fix, establish, decide
12;回;kai;カイ;mawa(su);まわ(す);-times, round, revolve, counter
13;選;sen;セン;era(bu);えら(ぶ);elect, select, choose, prefer
14;米;bei, mai, meetoru;ベイ、 マイ、 メエトル;kome;こめ;rice, USA, meter
15;実;jitsu;ジツ;mi, mino(ru);み、みの(る);reality, truth
16;関;kan;カン;seki, kaka(waru);せき、 かか(わる);connection, barrier, gateway, involve, concerning
17;決;ketsu;ケツ;ki(meru);き(める);decide, fix, agree upon, appoint
18;全;zen;ゼン;matta(ku), sube(te);まった(く)、 すべ(て);whole, entire, all, complete, fulfill
19;表;hyou;ヒョウ;omote, arawa(su);おもて、 あらわ(す);surface, table, chart, diagram
20;戦;sen;セン;ikusa, tataka(u);いくさ、 たたか(う);war, battle, match
21;経;kei;ケイ;he(ru), ta(tsu);へ(る)、 た(つ);longitude, pass thru, expire, warp
22;最;sai;サイ;motto(mo);もっと(も);utmost, most, extreme
23;現;gen;ゲン;arawa(reru), utsu(tsu);あらわ(れる)、 うつ(つ);present, existing, actual
24;調;chou;チョウ;shira(beru), tono(u);しら(べる)、ととの(う);tune, tone, meter, prepare, investigate
25;化;ka, ke;カ、 ケ;ba(keru), fu(keru);ば(ける)、 ふ(ける);change, take the form of, influence, enchant, delude, -ization
26;当;tou;トウ;a(taru);あ(たる);hit, right, appropriate
27;約;yaku;ヤク;tsuzu(maru);つづ(まる);promise, approximately, shrink
28;首;shu;シュ;kubi;くび;neck
29;法;hou;ホウ;nori;のり;method, law, rule, principle, model, system
30;性;sei, shou;セイ、 ショウ;empty;空;sex, gender, nature
31;的;teki;テキ;empty;空;mark, target, object, adjective ending
32;要;you;ヨウ;i(ru), kaname;い(る)、 かなめ;need, main point, essence, pivot
33;制;sei;セイ;empty;空;system, law, rule
34;治;ji, chi;ジ、チ;nasa(meru), nao(ru);おさ(める)、なお(る);reign, cure, heal
35;務;mu;ム;tsuto(meru);つと(める);task, duties
36;成;sei, jou;セイ、 ジョウ;na(ru);な(る);turn into, become, get, grow, elapse
37;期;ki, go;キ、 ゴ;empty;空;period, time, date, term
38;取;shu;シュ;to(ru);と(る);take, fetch
39;都;to, tsu;ト、ツ;miyako;みやこ;metropolis, capital
40;和;wa, o;ワ、オ;yawa(ragu), nago(mu);やわ(らぐ)、なご(む);harmony, Japanese style, peace
41;機;ki;キ;hata;はた;machine, airplane, opportunity
42;平;hei, byou;ヘイ、ビョウ;tai(ra), hira;たい(ら)、ひら;even, flat, peace
43;加;ka;カ;kuwa(eru);くわ(える);add, addition, increase, join
44;受;ju;ジュ;u(keru);う(ける);accept, undergo, answer (phone), take
45;続;zoku;ゾク;tsuzuku;つづ(く);continue, series, sequel
46;進;shin;シン;susu(mu);すす(む);advance, proceed
47;数;suu;スウ;kazu, kazo(eru);かず、 かぞ(える);number, strength, fate, law, figures
48;記;ki;キ;shiru(su);しる(す);scribe, account, narrative
49;初;sho;ショ;haji(me), hatsu;はじ(め)、はつ;first time, beginning
50;指;shi;シ;yubi, sa(su);ゆび、さ(す);finger, point to, indicate
51;権;ken;ケン;empty;空;authority, power, rights
52;支;shi;シ;sasa(eru);ささ(える);branch, support, sustain
53;産;san;サン;u(mu), mu(su);う(む)、 む(す);products, bear, give birth
54;点;ten;テン;tsu(keru);つ(ける);spot, point, mark
55;報;hou;ホウ;mukku(iru);むく(いる);report, news, reward
56;済;sai, sei;サイ、セイ;su(mu);す(む);settle, relieve, finish
57;活;katsu;カツ;empty;空;living
58;原;gen;ゲン;hara;はら;original, primitive, field
59;共;kyou;キョウ;tomo;とも;together, both, neither
60;得;toku;トク;e(ru);え(る);gain, get, find, earn, acquire, can, may, able to, profit
61;解;kai, ge;カイ、ゲ;to(ku), hodo(ku);と(く)、ほど(く);unravel, explanation
62;交;kou;コウ;maji(waru), ma(zeru), ka(wasu);まじ(わる)、 ま(ぜる)、 か(わす);mingle, mixing, association, coming & going
63;資;shi;シ;empty;空;assets, resources, capital, funds, data, be conducive to
64;予;yo, sha;ヨ、 シャ;arakaji(me);あらかじ(め);beforehand, previous, myself, I
65;向;kou;コウ;mu(ku), muka(i);む(く)、むか(い);facing, beyond
66;際;sai;サイ;kiwa;きわ;occasion, time
67;勝;shou;ショウ;ka(tsu), masa(ru);か(つ)、 まさ(る);victory, win
68;面;men;メン;omo, omote, tsura;おも、おもて、つら;mask, face, features, surface
69;告;koku;コク;tsu(geru);つ(げる);revelation, inform
70;反;han;ハン;so(ru);そ(る);anti-
71;判;han;ハン;empty;空;judgement, signature
72;認;nin;ニン;mito(meru), shitata(meru);みと(める)、したた(める);acknowledge, witness, recognize
73;参;san;サン;mai(ru);まい(る);going, coming, participate
74;利;ri;リ;ki(ku);き(く);profit, advantage, benefit
75;組;so;ソ;ku(mu), kumi;く(む)、くみ;association, assemble, unite
76;信;shin;シン;empty;空;faith, truth, trust
77;在;zai;ザイ;a(ru);あ(る);exist, outskirts
78;件;ken;ケン;kudan;くだん;affair, case, matter
79;側;soku;ソク;gawa, soba;がわ、そば;side, lean, oppose
80;任;nin;ニン;maka(seru);まか(せる);responsibility, duty
81;引;in;イン;hi(ku);ひ(く);pull, tug, jerk
82;求;kyuu;キュウ;moto(meru);もと(める);request, want, demand
83;所;sho;ショ;tokoro;ところ;place, extent
84;次;ji, shi;ジ、シ;tsu(gu), tsugi;つ(ぐ)、つぎ;next, order
85;昨;saku;サク;empty;空;yesterday, previous
86;論;ron;ロン;agetsura(u);あげつら(う);argument, discourse
87;官;kan;カン;empty;空;bureaucrat, the government, organ
88;増;zou;ゾウ;ma(su), fu(eru);ま(す)、 ふ(える);increase, add
89;係;kei;ケイ;kaka(ru), kakari;かか(る)、かかり;person in charge, connection
90;感;kan;カン;empty;空;emotion, feeling, sensation
91;情;jou, sei;ジョウ、セイ;nasa(ke);なさ(け);feelings, emotion, passion
92;投;tou;トウ;na(geru);な(げる);throw, discard
93;示;ji, shi;ジ、シ;shime(su);しめ(す);show, indicate, display
94;変;hen;ヘン;ka(waru);か(わる);unusual, change, strange
95;打;da;ダ;u(tsu), bu(tsu);う(つ)、ぶ(つ);strike, hit, knock
96;直;choku, jiki;チョク、 ジキ;tada(chini), su(gu);ただ(ちに)、 す(ぐ);straightaway, honesty, frankness, fix, repair
97;両;ryou;リョウ;empty;空;both
98;式;shiki;シキ;empty;空;style, ceremony
99;確;kaku;カク;tashi(ka);たし(か);assurance, firm, confirm
100;果;ka;カ;ha(tasu);は(たす);fruit, reward, carry out, achieve, complete
101;容;you;ヨウ;empty;空;contain, form
102;必;hitsu;ヒツ;kanara(zu);かなら(ず);invariably, certain, inevitable
103;演;en;エン;empty;空;performance, act, play, render, stage
104;歳;sai, sei;サイ、セイ;empty;空;age, year-end
105;争;sou;ソウ;araso(u);あらそ(う);contend, dispute, argue
106;談;dan;ダン;empty;空;discuss, talk
107;能;nou;ノウ;ata(u);あた(う);ability, talent, skill, capacity
108;位;i;イ;kurai, gurai;くらい、 ぐらい;rank, grade, about
109;置;chi;チ;o(ku);お(く);placement, put, set, deposit, leave behind
110;流;ryuu, ru;リュウ、ル;naga(reru);なが(れる);current, flow
111;格;kaku, kou, kyaku;カク、コウ、キャク;empty;空;status, rank, capacity
112;疑;gi;ギ;utaga(u);うたが(う);doubt, distrust
113;過;ka;カ;su(giru), yogi(ru);す(ぎる)、よぎ(る);overdo, exceed, go beyond
114;局;kyoku;キョク;empty;空;bureau, board, office
115;放;hou;ホウ;hana(su), hou(ru);はな(す)、ほう(る);set free, release
116;常;jou;ジョウ;tsune;つね;usual, ordinary, normal
117;状;jou;ジョウ;empty;空;conditions, form, appearance
118;球;kyuu;キュウ;tama;たま;ball, sphere
119;職;shoku;ショク;empty;空;post, employment, work
120;与;yo;ヨ;ata(eru), azuka(ru);あた(える)、 あずか(る);give, award
121;供;kyou, ku, kuu;キョウ、ク、クウ;sona(eru), tomo;そな(える)、とも;submit, offer, present, accompany
122;役;yaku, eki;ヤク、エキ;empty;空;duty, service, role
123;構;kou;コウ;kama(u);かま(う);posture, build, pretend
124;割;katsu;カツ;wa(ru), wari;わ(る)、わり;proportion, divide, cut, separate
125;身;shin;シン;mi;み;somebody, person
126;費;hi;ヒ;tsui(yasu);つい(やす);expense, consume
127;付;fu;フ;tsu(keru);つ(ける);adhere, attach, refer to, append
128;由;yu, yuu;ユ、ユウ;yoshi, yo(ru);よし、よ(る);wherefore, a reason
129;説;setsu, zei;セツ、 ゼイ;to(ku);と(く);opinion, theory, explanation
