#;vocabulary-kanji;vocabulary-kana;vocabulary-romaji;Type;translation
1;浴びる;あびる;abiru;Ichidan verb (transitiv);to bathe, to shower
2;危ない;あぶない;abunai;い-adjective;dangerous
3;あっち;empty;acchi;Pronoun;over there
4;あちら;empty;achira;Pronoun;there
5;上げる;あげる;ageru;Ichidan verb (transitiv);to raise, to elevate, to give
6;赤;あか;aka;Noun;red, crimson, scarlet​
7;赤い;あかい;akai;い-adjective;red, crimson, scarlet​
8;明るい;あかるい;akarui;い-adjective;bright, light
9;開ける;あける;akeru;Ichidan verb (transitiv);to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock
10;秋;あき;aki;Noun;autumn, fall
11;開く;あく;aku;Godan verb (intransitive);to open (e.g. doors, business, etc)
12;甘い;あまい;amai;い-adjective;sweet, sweet-tasting, sugary, naive, indulgent
13;雨;あめ;ame;Noun;rain
14;飴;あめ;ame;Noun;candy
15;あなた;empty;anata;Pronoun;you
16;姉;あね;ane;Noun;older sister, elder sister​
17;兄;あに;ani;Noun;elder brother, older brother​
18;あの;empty;ano;Pre-noun adjectival;that
19;青;あお;ao;Noun;blue, azure
20;青い;あおい;aoi;い-adjective;blue, azure
21;アパート;empty;apaato;Noun;apartment
22;洗う;あらう;arau;Godan verb (transitive);to wash
23;あれ;empty;are;Pronoun;that
24;ある;empty;aru;Godan verb (intransitive);to be, to have
25;歩く;あるく;aruku;Godan verb (intransitive);to walk
26;朝;あさ;asa;Noun;morning
27;朝ご飯;あさごはん;asagohan;Noun;breakfast
28;明後日;あさって;asatte;Noun;day after tomorrow
29;足;あし;ashi;Noun;foot, leg, paw, arm
30;明日;あした;ashita;Noun, Temporal noun;tomorrow
31;遊ぶ;あそぶ;asobu;Godan verb (intransitive);to play, to enjoy oneself
32;あそこ;empty;asoko;Pronoun;over there
33;頭;あたま;atama;Noun;head
34;新しい;あたらしい;atarashii;い-adjective;new, novel, fresh, recent, latest
35;暖かい;あたたかい;atatakai;い-adjective;warm
36;後;あと;ato;Noun;behind, after, remainder, left, also
37;暑い;あつい;atsui;い-adjective;hot, sultry
38;厚い;あつい;atsui;い-adjective;thick
39;熱い;あつい;atsui;い-adjective;hot
40;会う;あう;au;Godan verb (intransitive);to meet, to encounter, to see
41;晩ご飯;ばんごはん;bangohan;Noun;dinner, evening meal
42;番号;ばんごう;bangou;Noun;number
43;バス;empty;basu;Noun;bus
44;バター;empty;bataa;Noun;butter​
45;ベッド;empty;beddo;Noun;bed
46;勉強;べんきょう;benkyou;Noun, Suru verb;to study
47;便利;べんり;benri;な-adjective;convenient, handy, useful
48;ボールペン;empty;boorupen;Noun;ball-point pen
49;ボタン;empty;botan;Noun;button
50;帽子;ぼうし;boushi;Noun;hat, cap
51;文章;ぶんしょう;bunshou;Noun;sentence
52;豚肉;ぶたにく;butaniku;Noun;pork
53;病院;びょういん;byouin;Noun;hospital
54;病気;びょうき;byouki;Noun;illness, disease, sickness
55;茶色;ちゃいろ;chairo;Noun;brown
56;茶碗;ちゃわん;chawan;Noun;rice bowl, tea cup, teacup
57;父;ちち;chichi;Noun;father
58;違う;ちがう;chigau;Godan verb (intransitive);to differ
59;小さい;ちいさい;chiisai;い-adjective;small, little, tiny
60;小さな;ちいさな;chiisana;Pre-noun adjectival;small, little, tiny​
61;近い;ちかい;chikai;い-adjective;near, close
62;地下鉄;ちかてつ;chikatetsu;Noun;subway, underground train
63;地図;ちず;chizu;Noun;map
64;ちょっと;empty;chotto;Adverb;a little
65;丁度;ちょうど;choudo;Adverb;exactly
66;台所;だいどころ;daidokoro;Noun;kitchen
67;大学;だいがく;daigaku;Noun;university, college
68;大丈夫;だいじょうぶ;daijoubu;な-adjective, Adverb;OK, okay, alright, problem free
69;大好き;だいすき;daisuki;な-adjective;love, like, like very much
70;だんだん;empty;dandan;Adverb;gradually
71;誰;だれ;dare;Pronoun;who
72;誰か;だれか;dareka;Pronoun;someone, somebody
73;出す;だす;dasu;Godan verb (transitive);to take out, to get out, to put out, to reveal
74;出口;でぐち;deguchi;Noun;exit, gateway, way out
75;出かける;でかける;dekakeru;Ichidan verb (intransitive);to go out, to leave, to depart
76;電気;でんき;denki;Noun;electricity
77;電車;でんしゃ;densha;Noun;train, electric train
78;電話;でんわ;denwa;Noun, Verb, Suru verb;telephone (call / device)l, phone call
79;デパート;empty;depaato;Noun;department store
80;出る;でる;deru;Ichidan verb (intransitive);to leave, to exit, to appear, to go out
81;ドア;empty;doa;Noun;door
82;どっち;empty;docchi;Pronoun;which, which one
83;どちら;empty;dochira;Pronoun;which of two
84;どこ;empty;doko;Pronoun;where, what place​
85;どなた;empty;donata;Noun;who
86;どの;empty;dono;Pre-noun adjectival;which
87;どれ;empty;dore;Pronoun;which (of three or more)​
88;どう;empty;dou;Adverb;how, in what way, how about​
89;動物;どうぶつ;doubutsu;Noun;animal
90;どうも;empty;doumo;Adverb;thank you, thanks
91;どうぞ;empty;douzo;Adverb;please
92;土曜日;どようび;doyoubi;Noun;Saturday
93;絵;え;e;Noun;picture
94;ええ;empty;ee;Noun;yes, that is correct, right
95;映画;えいが;eiga;Noun;movie, film
96;映画館;えいがかん;eigakan;Noun;movie theater, cinema
97;英語;えいご;eigo;Noun;English language
98;駅;えき;eki;Noun;station
99;鉛筆;えんぴつ;enpitsu;Noun;pencil
100;エレベーター;empty;erebeetaa;Noun;elevator
101;フィルム;empty;firumu;Noun;film
102;フォーク;empty;fooku;Noun;fork
103;服;ふく;fuku;Noun;clothes
104;吹く;ふく;fuku;Godan verb (intransitive);to blow (of the wind)
105;降る;ふる;furu;Godan verb (intransitive);to fall
106;古い;ふるい;furui;い-adjective;old (not used for people)
107;二人;ふたり;futari;Noun;two people, pair, couple
108;二つ;ふたつ;futatsu;Noun, Numeric;two, 2
109;太い;ふとい;futoi;い-adjective;fat, thick
110;二日;ふつか;futsuka;Noun;the second day of the month / 2 days
111;封筒;ふうとう;fuutou;Noun;envelope
112;冬;ふゆ;fuyu;Noun;winter
113;外国;がいこく;gaikoku;Noun;foreign country
114;外国人;がいこくじん;gaikokujin;Noun;foreigner, foreign citizen, foreign national, alien, non-Japanese
115;学校;がっこう;gakkou;Noun;school
116;学生;がくせい;gakusei;Noun;student
117;玄関;げんかん;genkan;Noun;entrance
118;元気;げんき;genki;Noun, な-adjective;lively, full of spirit, energetic, healthy
119;月曜日;げつようび;getsuyoubi;Noun;Monday
120;銀行;ぎんこう;ginkou;Noun;bank
121;ギター;empty;gitaa;Noun;guitar
122;五;ご;go;Noun, Numeric;five, 5
123;午後;ごご;gogo;Noun;afternoon, p.m.
124;ご飯;ごはん;gohan;Noun;cooked rice, meal
125;午前;ごぜん;gozen;Noun;morning, a.m.
126;グラム;empty;guramu;Noun;gram
127;牛肉;ぎゅうにく;gyuuniku;Noun;beef
128;牛乳;ぎゅうにゅう;gyuunyuu;Noun;(cow's) milk
129;歯;は;ha;Noun;tooth
130;八;はち;hachi;Noun, Numeric;eight: 8
131;葉書;はがき;hagaki;Noun;postcard
132;母;はは;haha;Noun;mother
133;はい;empty;hai;Noun;yes, that is correct​
134;入る;はいる;hairu;Godan verb (intransitive);to enter, to go into
135;灰皿;はいざら;haizara;Noun;ashtray
136;始まる;はじまる;hajimaru;Godan verb (intransitive);to begin
137;初めて;はじめて;hajimete;Adverb;for the first time
138;箱;はこ;hako;Noun;box, crate
139;履く;はく;haku;Godan verb (transitive);to wear, to put on trousers
140;半;はん;han;Noun;half, semi-, half-past
141;花;はな;hana;Noun;flower
142;鼻;はな;hana;Noun;nose
143;話;はなし;hanashi;Noun;talk, speech, chat, conversation​
144;話す;はなす;hanasu;Godan verb (transitive);to speak, to talk, to converse
145;半分;はんぶん;hanbun;Noun;half
146;ハンカチ;empty;hankachi;Noun;handkerchief​
147;晴れ;はれ;hare;Noun;clear weather
148;晴れる;はれる;hareru;Ichidan verb (intransitive);to be sunny
149;春;はる;haru;Noun;spring, springtime
150;貼る;はる;haru;Godan verb (transitive);to stick, to paste
151;箸;はし;hashi;Noun;chopsticks
152;橋;はし;hashi;Noun;bridge
153;走る;はしる;hashiru;Godan verb (intransitive);to run
154;二十歳;はたち;hatachi;Noun;20 years old, twenty years old
155;働く;はたらく;hataraku;Godan verb (intransitive);to work
156;二十日;はつか;hatsuka;Noun;twentieth day of the month / 20 days
157;速い;はやい;hayai;い-adjective;fast, quick, hasty, brisk
158;早い;はやい;hayai;い-adjective;fast, early
159;辺;へん;hen;Noun;area
